journal,abbreviation,year,contains_page,assignee,doi,comments,IF_5year,open,repro_inst,art_class,molecular,software_cite,software_avail,comp_mthds_avail,data_avail,software_used,category,bibtexkey,address,annote,author,booktitle,chapter,crossref,edition,editor,howpublished,institution,key,month,note,number,organization,pages,publisher,school,series,title,type,volume,url,issn,x.article.pm..title
Canadian Journal of Plant Pathology,Can J Plant Pathol,2015,142,Emerson,10.1080/07060661.2015.1004111,NA,1.239,BOTH,2,Applied,FALSE,1,2,0,0,GenStat,ARTICLE,Adikini_2015,NA,NA,"Scovia Adikini, Settumba B. Mukasa, Robert O.M. Mwanga, Richard W. Gibson",NA,NA,NA,NA,NA,NA,NA,NA,jan,NA,1,NA,136--147,Informa {UK} Limited,NA,NA,Sweet potato cultivar degeneration rate under high and low sweet potato virus disease pressure zones in Uganda,NA,37,https://doi.org/10.1080%2F07060661.2015.1004111,NA,NA
Canadian Journal of Plant Pathology,Can J Plant Pathol,2017,61,Kaique,10.1080/07060661.2017.1304021,NA,1.154,BOTH,2,Applied,FALSE,2,3,0,3,"MEGA, Clustal W",NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canadian Journal of Plant Pathology,Can J Plant Pathol,2017,117,Kaique,10.1080/07060661.2017.1321044,Original random page number included in previous article. Next sequential article selected,1.154,BOTH,2,Applied,FALSE,1,2,0,3,"Clustal W2, SAS",NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canadian Journal of Plant Pathology,Can J Plant Pathol,2018,28,Emerson,10.1080/07060661.2017.1414881,NA,1.239,BOTH,2,Applied,FALSE,1,2,0,0,SAS,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canadian Journal of Plant Pathology,Can J Plant Pathol,2012,141,Adam,10.1080/07060661.2012.681396,"Original random page number not applicable, selected next article sequentially",1.239,BOTH,2,Fundamental,TRUE,3,2,0,0,"BLAST, Clustal W2, MEGA, SAS",ARTICLE,Aouar_2012,NA,NA,"Lamia Aouar, Sylvain Lerat, Ammar Ouffroukh, Abderrahmane Boulahrouf, Carole Beaulieu",NA,NA,NA,NA,NA,NA,NA,NA,apr,NA,2,NA,165--176,Informa {UK} Limited,NA,NA,Taxonomic identification of rhizospheric actinobacteria isolated from {Algerian} semi-arid soil exhibiting antagonistic activities against plant fungal pathogens,NA,34,https://doi.org/10.1080%2F07060661.2012.681396,NA,NA
Canadian Journal of Plant Pathology,Can J Plant Pathol,2013,5,Adam,10.1080/07060661.2012.702128,NA,1.239,BOTH,2,Fundamental,TRUE,NA,NA,NA,2,NA,ARTICLE,El_Bebany_2013,NA,NA,"Ahmed F. El-Bebany, Hassna Alkher, Lorne R. Adam, Fouad Daayf",NA,NA,NA,NA,NA,NA,NA,NA,jan,NA,1,NA,1--9,Informa {UK} Limited,NA,NA,Vegetative compatibility of \textit{{Verticillium dahliae}} isolates from potato and sunflower using nitrate non-utilizing (\textit{nit} mutants and {PCR}-based approaches,NA,35,https://doi.org/10.1080%2F07060661.2012.702128,NA,NA
Canadian Journal of Plant Pathology,Can J Plant Pathol,2014,9,Zach,10.1080/07060661.2013.868370,"Original random page number is review, next sequential article selected",1.239,BOTH,2,Fundamental,FALSE,1,3,0,0,ImageJ,ARTICLE,Wang_2014,NA,NA,"Li Wang, Christopher Mogg, Sean Walkowiak, Manisha Joshi, Rajagopal Subramaniam",NA,NA,NA,NA,NA,NA,NA,NA,jan,NA,1,NA,12--21,Informa {UK} Limited,NA,NA,Characterization of {NADPH} oxidase genes NoxA and NoxB in \textit{{Fusarium graminearum}},NA,36,https://doi.org/10.1080%2F07060661.2013.868370,NA,NA
Canadian Journal of Plant Pathology,Can J Plant Pathol,2017,88,Kaique,10.1080/07060661.2017.1336488,"Original random page number is abstract, next sequential article selected",1.154,BOTH,2,Fundamental,TRUE,NA,NA,0,0,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canadian Journal of Plant Pathology,Can J Plant Pathol,2018,41,Emerson,10.1080/07060661.2017.1417915,NA,1.239,BOTH,2,Fundamental,TRUE,2,2,0,0,"SPSS, Clustal, MEGA",NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canadian Journal of Plant Pathology,Can J Plant Pathol,2018,147,Kaique,10.1080/07060661.2018.1442370,"Original random page number is abstract, next sequential article selected",1.197,BOTH,2,Fundamental,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crop Protection,Crop Prot,2012,1,Adam,10.1016/j.cropro.2011.08.024,"Original random page number is review, next sequential article selected",1.79,BOTH,2,Applied,FALSE,1,2,0,0,SAS,ARTICLE,Bogo_2012,NA,NA,"Amauri Bogo, Ricardo Trezzi Casa, Leo Rufato, Mayra Juline Gon{\\c{c}}alves",NA,NA,NA,NA,NA,NA,NA,NA,jan,NA,1,NA,40--44,Elsevier {BV},NA,NA,The effect of hail protection nets on {Glomerella} leaf spot in `royal {Gala}' apple,NA,31,https://doi.org/10.1016%2Fj.cropro.2011.08.024,NA,NA
Crop Protection,Crop Prot,2012,61,Zach,10.1016/j.cropro.2011.09.010,"Original random page number is review, next sequential article selected",1.79,BOTH,2,Applied,FALSE,2,2,0,0,Statistica,ARTICLE,Mouen_Bedimo_2012,NA,NA,"J.A. Mouen Bedimo, C. Cilas, J.L. Nott{\\'{e}}ghem, D. Bieysse",NA,NA,NA,NA,NA,NA,NA,NA,jan,NA,1,NA,125--131,Elsevier {BV,NA,NA,Effect of temperatures and rainfall variations on the development of coffee berry disease caused by \textit{{Colletotrichum kahawae}},NA,31,https://doi.org/10.1016%2Fj.cropro.2011.09.010,NA,NA
Crop Protection,Crop Prot,2012,99,Adam,10.1016/j.cropro.2011.10.001,"Original random page number is review, next sequential article selected (also from second volume of year)",1.79,BOTH,2,Applied,FALSE,1,2,0,0,SPSS,ARTICLE,Gnanamangai_2012,NA,NA,"Balasubramanian Mythili Gnanamangai, Ponnusamy Ponmurugan",NA,NA,NA,NA,NA,NA,NA,NA,feb,NA,NA,NA,111--118,Elsevier {BV},NA,NA,Evaluation of various fungicides and microbial based biocontrol agents against bird's eye spot disease of tea plants,NA,32,https://doi.org/10.1016%2Fj.cropro.2011.10.001,NA,NA
Crop Protection,Crop Prot,2013,82,Emerson,10.1016/j.cropro.2012.09.001,NA,1.79,BOTH,2,Applied,FALSE,1,1,0,0,"SAS, OriginPro, Canoco",ARTICLE,Veromann_2013,NA,NA,"Eve Veromann, Merje Toome, Astrid Kännaste, Riina Kaasik, Lucian Copolovici, Jaak Flink, Gabriella Kov{\\'{a}}cs, Lea Narits, Anne Luik, Ülo Niinemets",NA,NA,NA,NA,NA,NA,NA,NA,jan,NA,NA,NA,79--88,Elsevier {BV},NA,NA,"Effects of nitrogen fertilization on insect pests, their parasitoids, plant diseases and volatile organic compounds in \textit{{Brassica napus}}",NA,43,https://doi.org/10.1016%2Fj.cropro.2012.09.001,NA,NA
Crop Protection,Crop Prot,2013,85,Adam,10.1016/j.cropro.2012.09.009,Original random page number included in previous article. Next sequential article selected,1.79,BOTH,2,Applied,FALSE,1,2,0,0,SAS,ARTICLE,Qin_2013,NA,NA,"Junhao Qin, Hongzhi He, Shiming Luo, Huashou Li",NA,NA,NA,NA,NA,NA,NA,NA,jan,NA,NA,NA,89--93,Elsevier {BV},NA,NA,Effects of rice-water chestnut intercropping on rice sheath blight and rice blast diseases,NA,43,https://doi.org/10.1016%2Fj.cropro.2012.09.009,NA,NA
Crop Protection,Crop Prot,2014,8,Emerson,10.1016/j.cropro.2013.10.002,NA,1.79,BOTH,2,Applied,FALSE,1,2,0,0,Statistica,ARTICLE,Collange_2014,NA,NA,"B{\\'{e}}atrice Collange, Mireille Navarrete, Fran{\\c{c}}oise Montfort, Thierry Mateille, Johannes Tavoillot, Bernard Martiny, Marc Tchamitchian",NA,NA,NA,NA,NA,NA,NA,NA,jan,NA,NA,NA,7--15,Elsevier {BV},NA,NA,Alternative cropping systems can have contrasting effects on various soil-borne diseases: Relevance of a systemic analysis in vegetable cropping systems,NA,55,https://doi.org/10.1016%2Fj.cropro.2013.10.002,NA,NA
Crop Protection,Crop Prot,2014,22,Adam,10.1016/j.cropro.2013.10.003,NA,1.79,BOTH,2,Applied,FALSE,2,3,0,0,R,ARTICLE,Mimee_2014,NA,NA,"Benjamin Mimee, Roxane Andersen, Guy B{\\'{e}}lair, Anne Vanasse, Mike Rott",NA,NA,NA,NA,NA,NA,NA,NA,jan,NA,NA,NA,21--27,Elsevier {BV},NA,NA,"Impact of quarantine procedures on weed biodiversity and abundance: Implications for the management of the golden potato cyst nematode, \textit{{Globodera rostochiensis}}",NA,55,https://doi.org/10.1016%2Fj.cropro.2013.10.003,NA,NA
Crop Protection,Crop Prot,2015,72,Adam,10.1016/j.cropro.2014.09.015,"Original random page number is review, next sequential article selected",1.79,BOTH,2,Applied,FALSE,1,3,0,0,R,ARTICLE,Lachenaud_2015,NA,NA,"Ph. Lachenaud, V. Rossi, J.-M. Thevenin, F. Doar{\\'{e}",NA,NA,NA,NA,NA,NA,NA,NA,jan,NA,NA,NA,91--95,Elsevier {BV},NA,NA,The {\textquotedblleft}Guiana{\textquotedblright} genetic group: A new source of resistance to cacao ({\textit{Theobroma cacao} L.} black pod rot caused by {\textit{Phytophthora capsici}},NA,67,https://doi.org/10.1016%2Fj.cropro.2014.09.015,NA,NA
Crop Protection,Crop Prot,2016,117,Adam,10.1016/j.cropro.2015.10.019,NA,1.79,BOTH,2,Applied,FALSE,1,2,0,0,GenStat,ARTICLE,Mugisa_2016,NA,NA,"I.O. Mugisa, J. Karungi, B. Akello, M.K.N. Ochwo-Ssemakula, M. Biruma, D.K. Okello, G. Otim",NA,NA,NA,NA,NA,NA,NA,NA,jan,NA,NA,NA,117--123,Elsevier {BV},NA,NA,Determinants of groundnut rosette virus disease occurrence in {Uganda},NA,79,https://doi.org/10.1016%2Fj.cropro.2015.10.019,NA,NA
Crop Protection,Crop Prot,2017,8,Emerson,10.1016/j.cropro.2016.09.012,NA,1.79,BOTH,2,Applied,TRUE,1,3,0,0,Oligo,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crop Protection,Crop Prot,2017,127,Emerson,10.1016/j.cropro.2016.10.011,"Original random paper was not plant pathology, next suitable paper chosen
",1.79,BOTH,2,Applied,TRUE,3,3,0,0,R,NA,NA,NA,NA,Sofie Landschoot and Jasper Carrette and Michiel Vandecasteele and Bernard De Baets and Monica Höfte and Kris Audenaert and Geert Haesaert,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49--59,NA,NA,NA,Boscalid-resistance in \textit{{Alternaria} alternata} and \textit{{Alternaria} solani} populations: {An} emerging problem in {Europe},NA,92,NA,NA,NA
Crop Protection,Crop Prot,2017,131,Emerson,10.1016/j.cropro.2016.11.028,NA,1.79,BOTH,2,Applied,FALSE,2,2,0,0,Matlab,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crop Protection,Crop Prot,2018,115,Kaique,10.1016/j.cropro.2017.10.001,NA,2.353,BOTH,2,Applied,FALSE,2,2,0,0,XLSTAT,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crop Protection,Crop Prot,2017,150,Kaique,10.1016/j.cropro.2016.10.012,"Original random page number article not applicable, selected first prior article that was plant pathology",2.149,BOTH,2,Fundamental,FALSE,2,3,0,0,InfoStat,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
European Journal of Plant Pathology,Eur J Plant Pathol,2012,54,Adam,10.1007/s10658-011-9847-6,NA,1.698,BOTH,2,Applied,FALSE,3,1,0,0,Statgraphics XVI,NA,NA,NA,NA,"Polona Strajnar, Saša Širca, Gregor Urek, Helena Šircelj, Peter Železnik, Dominik Vodnik",NA,NA,NA,NA,NULL,NA,NA,NA,jan,NA,NA,NA,49--57,NA,NA,NA,Effect of \textit{{Meloidogyne ethiopica}} parasitism on water management and physiological stress in tomato,NA,132,NA,NA,NA
European Journal of Plant Pathology,Eur J Plant Pathol,2013,63,Emerson,10.1007/s10658-012-0065-7,Original random page number included in previous article. Next sequential article selected,1.698,BOTH,2,Applied,TRUE,3,3,0,0,"MEGA, PAST, R",ARTICLE,Torrez-Calzada_2013,NA,NA,"Claudia Torres-Calzada, Raul Tapia-Tussell, Inocencio Higuera-Ciapara, Daisy Perez-Brito",NA,NA,NA,NA,NA,NA,NA,NA,jan,NA,1,NA,67-79,Springer Nature,NA,NA,"Morphological, pathological and genetic diversity of \textit{{Colletotrichum}} species responsible for anthracnose in papaya (\textit{{Carica papaya}} L",NA,NA,NA,NA,NA
European Journal of Plant Pathology,Eur J Plant Pathol,2013,108,Zach,10.1007/s10658-012-0069-3,NA,1.698,BOTH,2,Applied,FALSE,1,2,0,0,"RIDA® SOFT Win software, Infostat 2007 software",NA,NA,NA,NA,NULL,NA,NA,NA,NA,NULL,NA,NA,NA,jan,NA,1,NA,105--113,NA,NA,NA,Phenylpropanoids from maize pericarp: resistance factors to kernel infection and fumonisin accumulation by \textit{{Fusarium verticillioides}},NA,135,NA,NA,NA
European Journal of Plant Pathology,Eur J Plant Pathol,2013,21,Emerson,10.1007/s10658-012-0034-1,NA,1.698,BOTH,2,Fundamental,TRUE,1,3,0,0,"MEGA, RNAviz",ARTICLE,Cao_2013,NA,NA,"Mengji Cao, Huanan Su, Sagheer Atta, Xuefeng Wang, Qiong Wu, Zhongan Li, Changyong Zhou",NA,NA,NA,NA,NA,NA,NA,NA,jan,NA,1,NA,11--21,Springer Nature,NA,NA,Molecular characterization and phylogenetic analysis of Citrus viroid V isolates from Pakistan,NA,NA,NA,NA,NA
European Journal of Plant Pathology,Eur J Plant Pathol,2013,58,Adam,10.1007/s10658-012-0064-8,NA,1.698,BOTH,2,Fundamental,TRUE,3,1,0,3,"BLAST, LaserGene, PHYLIP",NA,NA,NA,NA,"Shunwen Lu, Michael C. Edwards, Timothy L. Friesen",NA,NA,NA,NA,NULL,NA,NA,NA,jan,NA,NA,NA,49--65,NA,NA,NA,Genetic variation of single nucleotide polymorphisms identified at the mating type locus correlates with form-specific disease phenotype in the barley net blotch fungus \textit{{Pyrenophora teres}},NA,135,NA,NA,NA
European Journal of Plant Pathology,Eur J Plant Pathol,2014,150,Zach,10.1007/s10658-013-0315-3,NA,1.698,BOTH,2,Fundamental,FALSE,0,0,0,0,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NULL,NA,NA,NA,oct,NA,10,NA,1543--1554,NA,NA,NA,"Production and secretion of naphthoquinones is mediated by the MFS transporter {MFS1} in the entomopathogenic fungus \textit{{Ophiocordyceps}} sp. {BCC1869}
",NA,31,NA,NA,NA
European Journal of Plant Pathology,Eur J Plant Pathol,2015,81,Emerson,10.1007/s10658-014-0525-3,NA,1.698,BOTH,2,Fundamental,FALSE,3,2,0,2,SPSS,ARTICLE,Papaioannou_2015,NA,NA,"Ioannis A. Papaioannou, Milton A.Typas",NA,NA,NA,NA,NA,NA,NA,NA,jan,NA,NA,NA,71-82,Springer Nature,NA,NA,Barrage formation is independent from heterokaryon incompatibility in \textit{{Verticillium dahliae}},NA,NA,NA,NA,NA
European Journal of Plant Pathology,Eur J Plant Pathol,2016,20,Adam,10.1007/s10658-015-0740-6,NA,1.698,BOTH,2,Fundamental,TRUE,3,2,0,3,"pDRAW32, SPSS, MEGA",NA,NA,NA,NA,"M. Vasić, N. Duduk, I. Vico, D. rančić, V. Pajić, D. Backhouse",NA,NA,NA,NA,NULL,NA,NA,NA,jan,NA,NA,NA,15--30,NA,NA,NA,"Comparative study of \textit{{Monilinia fructigena}} and \textit{{Monilia polystroma}} on morphological features, {RFLP} analysis, pathogenicity and histopathology",NA,144,NA,NA,NA
European Journal of Plant Pathology,Eur J Plant Pathol,2017,52,Kaique,10.1007/s10658-016-0979-6,NA,1.728,BOTH,2,Fundamental,TRUE,1,2,0,0,SPSS,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
European Journal of Plant Pathology,Eur J Plant Pathol,2017,102,Kaique,10.1007/s10658-016-0983-x,NA,1.754,BOTH,2,Fundamental,TRUE,2,2,0,0,"DPS Data Processing System, PeptideMass, SMART, SignalP, PSIPRED, Swiss-model, Clustal X, MEGA",NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
European Journal of Plant Pathology,Eur J Plant Pathol,2018,127,Emerson,10.1007/s10658-018-1458-z,NA,1.698,BOTH,2,Fundamental,TRUE,3,3,0,0,R,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Forest Pathology,Forest Pathol,2014,125,Adam,10.1111/efp.12076,NA,1.481,BOTH,0,Applied,TRUE,3,2,0,0,"MAFFT, MEGA, PAUP, SAS",NA,NA,NA,NA,"J. Roux, H. Solheim, G. Kamgan Nkuekam, M. J. Wingfield",NA,NA,NA,NA,NULL,NA,NA,NA,apr,NA,2,NA,124--130,NA,NA,NA,\textit{{Sporendocladia bactrospora}} associated with wounds on native broadleaved trees in {Norway} and {Sweden},NA,44,NA,NA,NA
Forest Pathology,Forest Pathol,2014,143,Emerson,10.1111/efp.12078,NA,1.481,BOTH,0,Applied,TRUE,0,0,NA,0,"CODONCODE ALIGNER, WEBSAT, PRIMER3",NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Forest Pathology,Forest Pathol,2015,114,Adam,10.1111/efp.12134,NA,1.481,BOTH,0,Applied,FALSE,3,2,0,0,"SAS, Excel",NA,NA,NA,NA,NULL,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Forest Pathology,Forest Pathol,2016,146,Emerson,10.1111/efp.12239,NA,1.481,BOTH,0,Applied,FALSE,1,3,0,2,"GenBank, PhytophthoraDB",NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Forest Pathology,Forest Pathol,2017,22,Emerson,10.1111/efp.12288,NA,1.481,BOTH,0,Applied,FALSE,3,2,0,0,SAS,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Forest Pathology,Forest Pathol,2017,74,Kaique,10.1111/efp.12301,NA,1.715,BOTH,0,Applied,FALSE,0,0,0,0,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Forest Pathology,Forest Pathol,2018,58,Emerson,10.1111/efp.12375,NA,1.481,BOTH,0,Applied,TRUE,2,3,0,0,MEGA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Forest Pathology,Forest Pathol,2018,62,Emerson,10.1111/efp.12376,NA,1.481,BOTH,0,Applied,FALSE,0,0,0,0,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Forest Pathology,Forest Pathol,2012,76,Emerson,10.1111/j.1439-0329.2010.00710.x,NA,1.481,BOTH,0,Applied,FALSE,2,2,0,0,GenStat,ARTICLE,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Forest Pathology,Forest Pathol,2012,142,Adam,10.1111/j.1439-0329.2011.00729.x,NA,1.481,BOTH,0,Applied,FALSE,0,0,0,0,NA,ARTICLE,NA,NA,NA,"J. F. Webber, A. M. Vettraino, T. T. Chang, S.E. Bellgard, C. M. Brasier, A. Vannini",NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,136--143,NA,NA,NA,Isolation of {\textit{Phytophthora lateralis}} from {\textit{Chamaecyparis}} foliage in Taiwan,NA,42,NA,NA,NA
Forest Pathology,Forest Pathol,2013,144,Adam,10.1111/efp.12011,NA,1.481,BOTH,0,Fundamental,TRUE,0,0,0,2,NSITE,ARTICLE,NA,NA,NA,"D.-D. Wang, X.-Y. Cheng, Y.-S. Wang, H.-Y. Pan, B.-Y. Xie",NA,NA,NA,NA,NULL,NA,NA,NA,apr,NA,NA,NA,144--152,NA,NA,NA,"Characterization and expression of daf-9 and daf-12 genes in the pinewood nematode, {\textit{Bursaphelenchus xylophilus}}",NA,43,http://onlinelibrary.wiley.com/doi/10.1111/efp.12011/abstract;jsessionid=48EB789249EDE417AC467BBEF877C6E6.f02t02,NA,NA
