"publication","year.x","start_page","assignee","doi","comments","bibtype","url","month","publisher","volume","number","pages","author","title","journal","editor"
"Canadian Journal of Plant Pathology",2015,142,"Emerson","10.1080/07060661.2015.1004111","","Article","https://doi.org/10.1080%2F07060661.2015.1004111","jan","Informa {UK} Limited","37","1","136--147","Scovia Adikini and Settumba B. Mukasa and Robert O.M. Mwanga and Richard W. Gibson","Sweet potato cultivar degeneration rate under high and low sweet potato virus disease pressure zones in Uganda","Canadian Journal of Plant Pathology",NA
"Crop Protection",2012,1,"Nik","10.1016/j.cropro.2011.08.024","Original random page number is review, next sequential article selected","Article","https://doi.org/10.1016%2Fj.cropro.2011.08.024","jan","Elsevier {BV}","31","1","40--44","Amauri Bogo and Ricardo Trezzi Casa and Leo Rufato and Mayra Juline Gonçalves","The effect of hail protection nets on Glomerella leaf spot in `royal Gala' apple","Crop Protection",NA
"Crop Protection",2012,61,"Zach","10.1016/j.cropro.2011.09.010","Original random page number is review, next sequential article selected","Article","https://doi.org/10.1016%2Fj.cropro.2011.09.010","jan","Elsevier {BV}","31","1","125--131","J.A. Mouen Bedimo and C. Cilas and J.L. Nottéghem and D. Bieysse","Effect of temperatures and rainfall variations on the development of coffee berry disease caused by Colletotrichum kahawae","Crop Protection",NA
"Crop Protection",2012,99,"Nik","10.1016/j.cropro.2011.10.001","Original random page number is review, next sequential article selected (also from second volume of year)","Article","https://doi.org/10.1016%2Fj.cropro.2011.10.001","feb","Elsevier {BV}","32",NA,"111--118","Balasubramanian Mythili Gnanamangai and Ponnusamy Ponmurugan","Evaluation of various fungicides and microbial based biocontrol agents against bird's eye spot disease of tea plants","Crop Protection",NA
"Crop Protection",2013,82,"Emerson","10.1016/j.cropro.2012.09.001","","Article","https://doi.org/10.1016%2Fj.cropro.2012.09.001","jan","Elsevier {BV}","43",NA,"79--88","Eve Veromann and Merje Toome and Astrid Kännaste and Riina Kaasik and Lucian Copolovici and Jaak Flink and Gabriella Kovács and Lea Narits and Anne Luik and Ülo Niinemets","Effects of nitrogen fertilization on insect pests, their parasitoids, plant diseases and volatile organic compounds in Brassica napus","Crop Protection",NA
"Crop Protection",2013,85,"Adam","10.1016/j.cropro.2012.09.009","Original random page number included in previous article. Next sequential article selected","Article","https://doi.org/10.1016%2Fj.cropro.2012.09.009","jan","Elsevier {BV}","43",NA,"89--93","Junhao Qin and Hongzhi He and Shiming Luo and Huashou Li","Effects of rice-water chestnut intercropping on rice sheath blight and rice blast diseases","Crop Protection",NA
"Crop Protection",2014,8,"Emerson","10.1016/j.cropro.2013.10.002","","Article","https://doi.org/10.1016%2Fj.cropro.2013.10.002","jan","Elsevier {BV}","55",NA,"7--15","Béatrice Collange and Mireille Navarrete and Françoise Montfort and Thierry Mateille and Johannes Tavoillot and Bernard Martiny and Marc Tchamitchian","Alternative cropping systems can have contrasting effects on various soil-borne diseases: Relevance of a systemic analysis in vegetable cropping systems","Crop Protection",NA
"Crop Protection",2014,22,"Nik","10.1016/j.cropro.2013.10.003","","Article","https://doi.org/10.1016%2Fj.cropro.2013.10.003","jan","Elsevier {BV}","55",NA,"21--27","Benjamin Mimee and Roxane Andersen and Guy Bélair and Anne Vanasse and Mike Rott","Impact of quarantine procedures on weed biodiversity and abundance: Implications for the management of the golden potato cyst nematode, Globodera rostochiensis","Crop Protection",NA
"Crop Protection",2015,72,"Adam","10.1016/j.cropro.2014.09.015","Original random page number is review, next sequential article selected","Article","https://doi.org/10.1016%2Fj.cropro.2014.09.015","jan","Elsevier {BV}","67",NA,"91--95","Ph. Lachenaud and V. Rossi and J.-M. Thevenin and F. Doa é","The {\textquotedblleft}Guiana{\textquotedblright} genetic group: A new source of resistance to cacao (Theobroma cacao L.) black pod rot caused by Phytophthora capsici","Crop Protection",NA
"Crop Protection",2016,117,"Adam","10.1016/j.cropro.2015.10.019","","Article","https://doi.org/10.1016%2Fj.cropro.2015.10.019","jan","Elsevier {BV}","79",NA,"117--123","I.O. Mugisa and J. Karungi and B. Akello and M.K.N. Ochwo-Ssemakula and M. Biruma and D.K. Okello and G. Otim","Determinants of groundnut rosette virus disease occurrence in Uganda","Crop Protection",NA
"European Journal of Plant Pathology",2012,54,"Nik","10.1007/s10658-011-9847-6","","Article","https://doi.org/10.1007%2Fs10658-011-9847-6","jul","Springer Nature","132","1","49--57","Polona Strajnar and Saša {Širca} and Gregor Urek and Helena {Šircelj} and Peter Železnik and Dominik Vodnik","Effect of Meloidogyne ethiopica parasitism on water management and physiological stress in tomato","European Journal of Plant Pathology",NA
"European Journal of Plant Pathology",2013,21,"Emerson","10.1007/s10658-012-0034-1","","Article","https://doi.org/10.1007%2Fs10658-012-0034-1","nov","Springer Nature","135","1","11--21","Mengji Cao and Sagheer Atta and Huanan Su and Xuefeng Wang and Qiong Wu and Zhongan Li and Changyong Zhou","Molecular characterization and phylogenetic analysis of Citrus viroid V isolates from Pakistan","European Journal of Plant Pathology",NA
"European Journal of Plant Pathology",2013,58,"Nik","10.1007/s10658-012-0064-8","","Article","https://doi.org/10.1007%2Fs10658-012-0064-8","aug","Springer Nature","135","1","49--65","Shunwen Lu and Michael C. Edwards and Timothy L. Friesen","Genetic variation of single nucleotide polymorphisms identified at the mating type locus correlates with form-specific disease phenotype in the barley net blotch fungus Pyrenophora teres","European Journal of Plant Pathology",NA
"European Journal of Plant Pathology",2013,63,"Emerson","10.1007/s10658-012-0065-7","Original random page number included in previous article. Next sequential article selected","Article","https://doi.org/10.1007%2Fs10658-012-0065-7","aug","Springer Nature","135","1","67--79","Claudia Torres-Calzada and Raul Tapia-Tussell and Inocencio Higuera-Ciapara and Daisy Perez-Brito","Morphological, pathological and genetic diversity of Colletotrichum species responsible for anthracnose in papaya (Carica papaya L)","European Journal of Plant Pathology",NA
"European Journal of Plant Pathology",2013,108,"Zach","10.1007/s10658-012-0069-3","","Article","https://doi.org/10.1007%2Fs10658-012-0069-3","aug","Springer Nature","135","1","105--113","Diego A. Sampietro and Carolina M. Fauguel and Marta A. Vattuone and Daniel A. Presello and Cesar A. N. Catalán","Phenylpropanoids from maize pericarp: resistance factors to kernel infection and fumonisin accumulation by Fusarium verticillioides","European Journal of Plant Pathology",NA
"European Journal of Plant Pathology",2014,150,"Zach","10.1007/s10658-013-0315-3","","Article","https://doi.org/10.1007%2Fs10658-013-0315-3","nov","Springer Nature","138","1","149--155","Daniela Moyankova and Aneta Lyubenova and Slavtcho Slavov and Dimitar Djilianov","Extracts of the endemic resurrection plant Haberlea rhodopensis stimulate in vitro growth of various Phytophthora spp. pathogens","European Journal of Plant Pathology",NA
"European Journal of Plant Pathology",2015,81,"Emerson","10.1007/s10658-014-0525-3","","Article","https://doi.org/10.1007%2Fs10658-014-0525-3","sep","Springer Nature","141","1","71--82","Ioannis A. Papaioannou and Milton A. Typas","Barrage formation is independent from heterokaryon incompatibility in Verticillium dahliae","European Journal of Plant Pathology",NA
"European Journal of Plant Pathology",2016,20,"Nik","10.1007/s10658-015-0740-6","","Article","https://doi.org/10.1007%2Fs10658-015-0740-6","sep","Springer Nature","144","1","15--30","M. Vasić and N. Duduk and I. Vico and D. Rančić and V. Pajić and D. Backhouse","Comparative study of Monilinia fructigena and Monilia polystroma on morphological features, {RFLP} analysis, pathogenicity and histopathology","European Journal of Plant Pathology",NA
"Forest Pathology",2012,76,"Emerson","10.1111/j.1439-0329.2010.00710.x","","Article","https://doi.org/10.1111%2Fj.1439-0329.2010.00710.x","feb","Wiley-Blackwell","42","1","75--78","T. Regliński and N. Rodenburg and J. T. Taylor and G. L. Northcott and A. Ah Chee and T. M. Spiers and R. A. Hill","Trichoderma atroviride promotes growth and enhances systemic resistance to Diplodia pinea in radiata pine (Pinus radiata) seedlings","Forest Pathology",NA
"Forest Pathology",2012,78,"Emerson","10.1111/j.1439-0329.2011.00712.x","Original random page number included in previous article. Next sequential article selected","Article","https://doi.org/10.1111%2Fj.1439-0329.2011.00712.x","feb","Wiley-Blackwell","42","1","79--83","A. Menkis and D. Burokie \.{e}","Distribution and genetic diversity of the root-rot pathogen Neonectria macrodidyma in a forest nursery","Forest Pathology",NA
"Forest Pathology",2012,142,"Adam","10.1111/j.1439-0329.2011.00729.x","","Article","https://doi.org/10.1111%2Fj.1439-0329.2011.00729.x","jul","Wiley-Blackwell","42","2","136--143","J. F. Webber and A. M. Vettraino and T. T. Chang and S.E. Bellgard and C. M. Brasier and A. Vannini","Isolation of Phytophthora lateralis from Chamaecyparis foliage in Taiwan","Forest Pathology",NA
"Forest Pathology",2013,144,"Adam","10.1111/efp.12011","","Article","https://doi.org/10.1111%2Fefp.12011","nov","Wiley-Blackwell","43","2","144--152","D.-D. Wang and X.-Y. Cheng and Y.-S. Wang and H.-Y. Pan and B.-Y. Xie","Characterization and expression ofdaf-9anddaf-12genes in the pinewood nematode,Bursaphelenchus xylophilus","Forest Pathology","L. Belbahri"
"Forest Pathology",2014,125,"Nik","10.1111/efp.12076","","Article","https://doi.org/10.1111%2Fefp.12076","oct","Wiley-Blackwell","44","2","124--130","J. Roux and H. Solheim and G. Kamgan Nkuekam and M. J. Wingfield","Sporendocladia bactrosporaassociated with wounds on native broadleaved trees in Norway and Sweden","Forest Pathology","R. Sturrock"
"Forest Pathology",2014,143,"Emerson","10.1111/efp.12078","","Article","https://doi.org/10.1111%2Fefp.12078","dec","Wiley-Blackwell","44","2","137--144","F. Gherghel and B. Fussi and K. Donges and M. Haustein and K. M. Jakob and K. Müller and B. Piškur and T. Hauptman and H. D. Lenz and M. Konnert and G. Kost and K.-H. Rexer","The development of a species-specific test to {detectHymenoschyphus} pseudoalbidusin ash tissues","Forest Pathology","J. Stenlid"
"Forest Pathology",2015,114,"Nik","10.1111/efp.12134","","Article","https://doi.org/10.1111%2Fefp.12134","jul","Wiley-Blackwell","45","2","111--119","M. A. Hughes and S. A. Inch and R. C. Ploetz and H. L. Er and A. H. C. {van Bruggen} and J. A. Smith","Responses of swamp bay,Persea palustris, and avocado,Persea americana, to various concentrations of the laurel wilt pathogen,Raffaelea lauricola","Forest Pathology","J. Roux"
"Forest Pathology",2016,146,"Emerson","10.1111/efp.12239","","Article","https://doi.org/10.1111%2Fefp.12239","oct","Wiley-Blackwell","46","2","134--163","T. Jung and L. Orlikowski and B. Henricot and P. Abad-Campos and A. G. Aday and O. Agu\'\in Casal and J. Bakonyi and S. O. Cacciola and T. Cech and D. Chavarriaga and T. Corcobado and A. Cravador and T. Decourcelle and G. Denton and S. Diamandis and H. T. Doğmuş-Lehtijärvi and A. Franceschini and B. Ginetti and S. Green and M. Glavendekić and J. Hantula and G. Hartmann and M. Herrero and D. Ivic and M. Horta Jung and A. Lilja and N. Keca and V. Kramarets and A. Lyubenova and H. Machado and G. Magnano {di San Lio} and P. J. Mansilla Vázquez and B. Marçais and I. Matsiakh and I. Milenkovic and S. Moricca and Z. Á. Nagy and J. Nechwatal and C. Olsson and T. Oszako and A. Pane and E. J. Paplomatas and C. Pintos Varela and S. Prospero and C. Rial Mart\'\inez and D. Rigling and C. Robin and A. Rytkönen and M. E. Sánchez and A. V. Sanz Ros and B. Scanu and A. Schlenzig and J. Schumacher and S. Slavov and A. Solla and E. Sousa and J. Stenlid and V. Tal ø and Z. Tomic and P. Tsopelas and A. Vannini and A. M. Vettraino and M. Wenneker and S. Woodward and A. Peréz-Sierra","{WidespreadPhytophthorainfestations} in European nurseries put forest, semi-natural and horticultural ecosystems at high risk of Phytophthora diseases","Forest Pathology","M.-L. Deprez-Loustau"
"Forest Pathology",2016,150,"Zach","10.1111/efp.12263","Original random page number included in previous article. Next sequential article selected","Article","https://doi.org/10.1111%2Fefp.12263","feb","Wiley-Blackwell","46","2","164--167","M.-S. Kim and P. A. Hohenlohe and K.-H. Kim and S.-T. Seo and N. B. Klopfenstein","Genetic diversity and population structure {ofRaffaelea} quercus-mongolicae,a fungus associated with oak mortality in South Korea","Forest Pathology","M. Hale"
"Journal of General Plant Pathology",2012,99,"Adam","10.1007/s10327-012-0367-9","","Article","https://doi.org/10.1007%2Fs10327-012-0367-9","feb","Springer Nature","78","2","99--105","Jun Yamamoto and Kazuaki Tanaka and Nobuaki Ohtaka and Toyozo Sato","Black leaf spot of Japanese persimmon (Diospyros kaki), a new disease caused by Adisciso kaki sp. nov.","Journal of General Plant Pathology",NA
"Journal of General Plant Pathology",2012,125,"Zach","10.1007/s10327-012-0364-z","","Article","https://doi.org/10.1007%2Fs10327-012-0364-z","feb","Springer Nature","78","2","121--126","Lani E. Yakabe and M. Malendia Maccree and Padma Sudarshana and Ali E. McClean and Shane R. Parker and William P. Wechter and Gernot Presting and Mizuri Marutani-Hert and Daniel A. Kluepfel","Novel {PCR} primers for detection of genetically diverse virulent Agrobacterium tumefaciens biovar 1 strains","Journal of General Plant Pathology",NA
"Journal of General Plant Pathology",2012,132,"Adam","10.1007/s10327-012-0360-3","","Article","https://doi.org/10.1007%2Fs10327-012-0360-3","jan","Springer Nature","78","2","127--132","Yukari Ido and Kenji S. Nakahara and Ichiro Uyeda","White clover mosaic virus-induced gene silencing in pea","Journal of General Plant Pathology",NA
"Journal of General Plant Pathology",2012,141,"Emerson","10.1007/s10327-012-0363-0","","Article","https://doi.org/10.1007%2Fs10327-012-0363-0","feb","Springer Nature","78","2","140--144","Nobuya Tashiro and Kayo Manabe and Youichi Ide","First report of whisker mold, a postharvest disease on citrus caused by Penicillium ulaiense (in Japan)","Journal of General Plant Pathology",NA
"Journal of General Plant Pathology",2013,4,"Zach","10.1007/s10327-012-0405-7","","Article","https://doi.org/10.1007%2Fs10327-012-0405-7","sep","Springer Nature","79","1","1--11","Kazuhiro Toyoda and Satoko Ikeda and Jun-ichi Morikawa and Masaya Hirose and Aya Maeda and Tomoko Suzuki and Yoshishige Inagaki and Yuki Ichinose and Tomonori Shiraishi","The Medicago truncatula{\textendash}Mycosphaerella pinodes interaction: a new pathosystem for dissecting fungal-suppressor-mediated disease susceptibility in plants","Journal of General Plant Pathology",NA
"Journal of General Plant Pathology",2013,50,"Nik","10.1007/s10327-012-0416-4","","Article","https://doi.org/10.1007%2Fs10327-012-0416-4","oct","Springer Nature","79","1","46--50","Akira Kawaguchi and Koji Tanina and Koji Inoue","Spatiotemporal distribution of tomato plants naturally infected with bacterial canker in greenhouses","Journal of General Plant Pathology",NA
"Journal of General Plant Pathology",2013,99,"Adam","10.1007/s10327-013-0428-8","","Article","https://doi.org/10.1007%2Fs10327-013-0428-8","feb","Springer Nature","79","2","96--104","Hong-yan Zhang and Dong-yang He and Teerapong Kasetsomboon and Heng Zhou and Ping Li and Xiang-long Li and Chatchawan Jantasuriyarat and Bo Zhou","Analysis of selected singleton transposable elements ({SSTEs}) and their application for the development of land {PATE} markers in Magnaporthe oryzae","Journal of General Plant Pathology",NA
"Journal of General Plant Pathology",2014,99,"Zach","10.1007/s10327-013-0480-4","","Article","https://doi.org/10.1007%2Fs10327-013-0480-4","sep","Springer Nature","80","1","99--102","Toru Kondo and Mamoru Satou and Toshiyuki Morikawa and Yoshiaki Chikuo","Brown root rot of Russell prairie gentian caused by Subplenodomus drobnjacensis","Journal of General Plant Pathology",NA
"Journal of General Plant Pathology",2014,99,"Zach","10.1007/s10327-013-0491-1","Random page number exact duplicate of last, next sequential article selected","Article","https://doi.org/10.1007%2Fs10327-013-0491-1","oct","Springer Nature","80","1","103--107","Rie Gappa-Adachi and Yasuaki Morita and Yoshifumi Shimomoto and Shigeharu Takeuchi","Bacterial leaf blight of sweet pepper (Capsicum annuum) caused by Pseudomonas cichorii in Japan","Journal of General Plant Pathology",NA
"Journal of General Plant Pathology",2015,26,"Emerson","10.1007/s10327-014-0557-8","","Article","https://doi.org/10.1007%2Fs10327-014-0557-8","sep","Springer Nature","81","1","24--31","Louis K. Prom and Ramasamy Perumal and Noe Montes-Garcia and Thomas Isakeit and Gary N. Odvody and William L. Rooney and Christopher R. Little and Clint Magill","Evaluation of Gambian and Malian sorghum germplasm against downy mildew pathogen, Peronosclerospora sorghi, in Mexico and the {USA}","Journal of General Plant Pathology",NA
"Journal of General Plant Pathology",2016,52,"Adam","10.1007/s10327-015-0633-8","","Article","https://doi.org/10.1007%2Fs10327-015-0633-8","nov","Springer Nature","82","1","51--56","Ryo Shukunami and Yutaka Iwamoto and Shinji Sugiura and Kentaro Ikeda and Hitohsi Nakayashiki and Kenichi Ikeda","Field method to monitor the mycoparasitic fungus Coniothyrium minitans","Journal of General Plant Pathology",NA
"Journal of General Plant Pathology",2016,124,"Zach","10.1007/s10327-016-0656-9","","Article","https://doi.org/10.1007%2Fs10327-016-0656-9","mar","Springer Nature","82","3","121--131","Kazumi Takao and Yasunori Akagi and Takashi Tsuge and Yoshiaki Harimoto and Mikihiro Yamamoto and Motoichiro Kodama","The global regulator {LaeA} controls biosynthesis of host-specific toxins, pathogenicity and development of Alternaria alternata pathotypes","Journal of General Plant Pathology",NA
"Journal of Phytopathology",2013,57,"Zach","10.1111/jph.12031","","Article","https://doi.org/10.1111%2Fjph.12031","oct","Wiley-Blackwell","161","1","49--58","Pallem Chowdappa and Nirmal B. J. Kumar and Shivanna Madhura and Mohan S. P. Kumar and Kevin L. Myers and William E. Fry and Julie N. Squires and David E. L. Cooke","Emergence of 13{\_}A2 Blue Lineage {ofPhytophthora} infestanswas Responsible for Severe Outbreaks of Late Blight on Tomato in South-West India","Journal of Phytopathology",NA
"Journal of Phytopathology",2013,72,"Emerson","10.1111/jph.12027","","Article","https://doi.org/10.1111%2Fjph.12027","oct","Wiley-Blackwell","161","2","70--77","He-Qin Zhu and Zi-Li Feng and Zhi-Fang Li and Yong-Qiang Shi and Li-Hong Zhao and Jia-Rong Yang","Characterization of Two Fungal Isolates from Cotton and Evaluation of their Potential for Biocontrol of Verticillium Wilt of Cotton","Journal of Phytopathology",NA
"Journal of Phytopathology",2013,87,"Adam","10.1111/jph.12029","","Article","https://doi.org/10.1111%2Fjph.12029","oct","Wiley-Blackwell","161","2","86--91","Yunior Morán and Osmani Chacón and Maria {del Carmen Córdoba-Sellés} and Rosario Dom\'\inguez-Larrinaga and Lidcay Herrera and Orlando Borrás-Hidalgo","Identification and Molecular Characterization {ofNocardiasp}. as a New Causal Agent of Tobacco False Broomrape","Journal of Phytopathology",NA
"Journal of Phytopathology",2013,143,"Nik","10.1111/jph.12038","","Article","https://doi.org/10.1111%2Fjph.12038","nov","Wiley-Blackwell","161","3","142--153","Holly Derksen and Mohamed Badawi and Maria Antonia Henriquez and Zhen Yao and Ahmed Farag El-Bebany and Fouad Daayf","Differential Expression of Potato Defence Genes Associated with the Salicylic Acid Defence Signalling Pathway in Response to Weakly and Highly Aggressive Isolates {ofVerticillium} dahliae","Journal of Phytopathology",NA
"Journal of Phytopathology",2014,53,"Adam","10.1111/jph.12158","","Article","https://doi.org/10.1111%2Fjph.12158","aug","Wiley-Blackwell","162","1","48--54","Yonghong Ge and David I. Guest and Yang Bi","Differences in the Induction of Defence Responses in Resistant and Susceptible Muskmelon Plants Infected {withColletotrichum} lagenarium","Journal of Phytopathology",NA
"Journal of Phytopathology",2015,2,"Adam","10.1111/jph.12274","","Article","https://doi.org/10.1111%2Fjph.12274","may","Wiley-Blackwell","163","1","1--10","Pedro Mondino and Leticia Casanova and Antonella Celio and Oscar Bentancur and Carolina Leoni and Sandra Alaniz","Sensitivity {ofVenturia} inaequalisto Trifloxystrobin and Difenoconazole in Uruguay","Journal of Phytopathology",NA
"Journal of Phytopathology",2015,67,"Nik","10.1111/jph.12259","","Article","https://doi.org/10.1111%2Fjph.12259","apr","Wiley-Blackwell","163","1","63--66","Chenchen Lu and Tingting Dai and HaiFeng Zhang and YuanChao Wang and XiaoBo Zheng","Development of a Loop-Mediated Isothermal Amplification Assay to {DetectFusarium} oxysporum","Journal of Phytopathology",NA
"Journal of Plant Pathology",2012,60,"Emerson","10.4454/jpp.fa.2012.002","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Journal of Plant Pathology",2012,70,"Zach","10.4454/jpp.fa.2012.003","Original random page number included in previous article. Next sequential article selected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Journal of Plant Pathology",2012,104,"Emerson","10.4454/jpp.fa.2012.019","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Journal of Plant Pathology",2013,28,"Emerson","10.4454/JPP.V95I1.003","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Journal of Plant Pathology",2013,107,"Adam","10.4454/JPP.V95I1.004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Journal of Plant Pathology",2013,125,"Zach","10.4454/JPP.V95I1.028","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Journal of Plant Pathology",2014,144,"Emerson","10.4454/JPP.V95I1.013","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Journal of Plant Pathology",2015,97,"Nik","10.4454/JPP.V97I1.013","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Journal of Plant Pathology",2016,2,"Adam","10.4454/JPP.V98I1.028","Original random page number is review, next sequential article selected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Journal of Plant Pathology",2016,105,"Zach","10.4454/JPP.V98I1.030","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Journal of Plant Pathology",2016,132,"Emerson","10.4454/JPP.V98I1.071","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virology Journal (Plant Viruses Section)",2012,37,"Nik","10.1186/1743-422x-10-173","Original random page number not applicable, selected next article sequentially","Article","https://doi.org/10.1186%2F1743-422x-10-173",NA,"Springer Nature","10","1","173","Wenwen Liu and Xiaojuan Zhao and Peng Zhang and Thi Mar and Yan Liu and Zongying Zhang and Chenggui Han and Xifeng Wang","A one step real-time {RT}-{PCR} assay for the quantitation of Wheat yellow mosaic virus ({WYMV})","Virology Journal",NA
"Virology Journal (Plant Viruses Section)",2012,66,"Emerson","10.1186/1743-422x-10-262","Original random page number not applicable, selected next article sequentially","Article","https://doi.org/10.1186%2F1743-422x-10-262",NA,"Springer Nature","10","1","262","Daniel Mendes Ardisson-Araújo and Juliana Rocha and Márcio Hedil {da Costa} and Anamélia Bocca and André Dusi and Renato {de Oliveira Resende} and Bergmann Ribeiro","A baculovirus-mediated strategy for full-length plant virus coat protein expression and purification","Virology Journal",NA
"Virology Journal (Plant Viruses Section)",2012,78,"Emerson","10.1186/1743-422x-10-324","Original random page number not applicable, selected next article sequentially","Article","https://doi.org/10.1186%2F1743-422x-10-324",NA,"Springer Nature","10","1","324","Sudarsana Poojari and Olufemi J Alabi and Rayapati A Naidu","Molecular characterization and impacts of a strain of Grapevine leafroll-associated virus 2 causing asymptomatic infection in a wine grape cultivar","Virology Journal",NA
"Virology Journal (Plant Viruses Section)",2012,140,"Nik","10.1186/s12985-014-0216-x","Original random page number not applicable, selected next article sequentially","Article","https://doi.org/10.1186%2Fs12985-014-0216-x","dec","Springer Nature","11","1",NA,"Tadeo Kaweesi and Robert Kawuki and Vincent Kyaligonza and Yona Baguma and Geoffrey Tusiime and Morag E Ferguson","Field evaluation of selected cassava genotypes for cassava brown streak disease based on symptom expression and virus load","Virology Journal",NA
"Virology Journal (Plant Viruses Section)",2013,15,"Emerson","10.1186/1743-422x-11-19","Original random page number not applicable, selected next article sequentially","Article","https://doi.org/10.1186%2F1743-422x-11-19",NA,"Springer Nature","11","1","19","Allan Olspert and Kristjan Kamsol and Cecilia Sarmiento and Jelena Gerassimenko and Erkki Truve","Cocksfoot mottle virus coat protein is dispensable for the systemic infection","Virology Journal",NA
