"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"NSBMD4JD","journalArticle","2010","","Estimating Population Densities of Root Lesion Nematodes, Pratylenchus spp., from Soil Samples Using Dual Active and Passive Assays","Plant Health Progress","","","10.1094/php-2012-1120-01-rs","https://doi.org/10.1094%2Fphp-2012-1120-01-rs","","2010","2017-04-11 08:32:45","2017-04-11 08:32:45","","","","","","","","","","","","","","","","","","","","","","bibtex: 2010  bibtex[bdsk-url-1=https://doi.org/10.1094%2Fphp-2012-1120-01-rs;bdsk-url-2=http://dx.doi.org/10.1094/php-2012-1120-01-rs]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RB8A4C6R","journalArticle","2013","Powell, M.; Cowan, J.; Miles, C.; Inglis, D. A.","Effect of a High-Tunnel, Organic Cropping System on Lettuce Diseases in Western Washington","Plant Health Progress","","","10.1094/php-2013-0922-01-rs","https://doi.org/10.1094%2Fphp-2013-0922-01-rs","","2013","2017-04-11 08:32:45","2017-04-11 08:32:45","","","","","","","","","","","","","","","","","","","","","","bibtex: Powell2013  bibtex[bdsk-url-1=https://doi.org/10.1094%2Fphp-2013-0922-01-rs;bdsk-url-2=http://dx.doi.org/10.1094/php-2013-0922-01-rs]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KVD4G8BM","journalArticle","2013","Bonde, Morris R.; Palmer, Cristi L.; Luster, Douglas G.; Nester, Susan E.; Revell, Jason M.; Berner, Dana K.","Sporulation Capacity and Longevity of Puccinia horiana Teliospores in Infected Chrysanthemum Leaves","Plant Health Progress","","","10.1094/php-2013-0823-01-rs","https://doi.org/10.1094%2Fphp-2013-0823-01-rs","","2013","2017-04-11 08:32:45","2017-04-11 08:32:45","","","","","","","","","","","","","","","","","","","","","","bibtex: Bonde2013  bibtex[bdsk-url-1=https://doi.org/10.1094%2Fphp-2013-0823-01-rs;bdsk-url-2=http://dx.doi.org/10.1094/php-2013-0823-01-rs]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z7QXFVCZ","journalArticle","2013","Leandro, Leonor F. S.; Robertson, Alison E.; Mueller, Daren S.; Yang, Xiao-Bing","Climatic and Environmental Trends Observed During Epidemic and Non-epidemic Years of Soybean Sudden Death Syndrome in Iowa","Plant Health Progress","","","10.1094/php-2013-0529-01-rs","https://doi.org/10.1094%2Fphp-2013-0529-01-rs","","2013","2017-04-11 08:32:45","2017-04-11 08:32:45","","","","","","","","","","","","","","","","","","","","","","bibtex: Leandro2013  bibtex[bdsk-url-1=https://doi.org/10.1094%2Fphp-2013-0529-01-rs;bdsk-url-2=http://dx.doi.org/10.1094/php-2013-0529-01-rs]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PUITWM29","journalArticle","2014","Chitrampalam, Periasamy; Berlin D. Nelson Jr.","Effect of Fusarium tricinctum on Growth of Soybean and a Molecular-based Method of Identification","Plant Health Progress","","","10.1094/php-rs-14-0014","https://doi.org/10.1094%2Fphp-rs-14-0014","","2014","2017-04-11 08:32:45","2017-04-11 08:32:45","","","","","","","","","","","","","","","","","","","","","","bibtex: Chitrampalam2014  bibtex[bdsk-url-1=https://doi.org/10.1094%2Fphp-rs-14-0014;bdsk-url-2=http://dx.doi.org/10.1094/php-rs-14-0014]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NGTSVECX","journalArticle","2017","Torres-Londoño, Gabriel Andrés; Hausbeck, Mary; Hao, Jianjun","ECX: An R Package for Studying Sensitivity of Antimicrobial Substances Using Spiral Plating Technology","Plant Health Progress","","","10.1094/php-rs-16-0020","https://doi.org/10.1094%2Fphp-rs-16-0020","","2017","2017-04-11 08:32:45","2017-04-11 08:32:45","","","","","","","","","","","","","","","","","","","","","","bibtex: TorresLondoo2017  bibtex[bdsk-url-1=https://doi.org/10.1094%2Fphp-rs-16-0020;bdsk-url-2=http://dx.doi.org/10.1094/php-rs-16-0020]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NB2GEFHC","journalArticle","2013","Liu, Wenwen; Zhao, Xiaojuan; Zhang, Peng; Mar, Thi; Liu, Yan; Zhang, Zongying; Han, Chenggui; Wang, Xifeng","A one step real-time RT-PCR assay for the quantitation of Wheat yellow mosaic virus (WYMV)","Virology Journal","","","10.1186/1743-422x-10-173","https://doi.org/10.1186%2F1743-422x-10-173","","2013","2017-04-11 08:32:45","2017-04-11 08:32:45","","173","","1","10","","","","","","","","","","","","","","","","","bibtex: Liu2013  bibtex[bdsk-url-1=https://doi.org/10.1186%2F1743-422x-10-173;bdsk-url-2=http://dx.doi.org/10.1186/1743-422x-10-173]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GTNZC3VG","journalArticle","2013","Ardisson-Araújo, Daniel Mendes; Rocha, Juliana; Costa, Márcio Hedil da; Bocca, Anamélia; Dusi, André; Resende, Renato de Oliveira; Ribeiro, Bergmann","A baculovirus-mediated strategy for full-length plant virus coat protein expression and purification","Virology Journal","","","10.1186/1743-422x-10-262","https://doi.org/10.1186%2F1743-422x-10-262","","2013","2017-04-11 08:32:45","2017-04-11 08:32:45","","262","","1","10","","","","","","","","","","","","","","","","","bibtex: ArdissonArajo2013  bibtex[bdsk-url-1=https://doi.org/10.1186%2F1743-422x-10-262;bdsk-url-2=http://dx.doi.org/10.1186/1743-422x-10-262]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5AFISGCV","journalArticle","2013","Poojari, Sudarsana; Alabi, Olufemi J.; Naidu, Rayapati A.","Molecular characterization and impacts of a strain of Grapevine leafroll-associated virus 2 causing asymptomatic infection in a wine grape cultivar","Virology Journal","","","10.1186/1743-422x-10-324","https://doi.org/10.1186%2F1743-422x-10-324","","2013","2017-04-11 08:32:45","2017-04-11 08:32:45","","324","","1","10","","","","","","","","","","","","","","","","","bibtex: Poojari2013  bibtex[bdsk-url-1=https://doi.org/10.1186%2F1743-422x-10-324;bdsk-url-2=http://dx.doi.org/10.1186/1743-422x-10-324]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JGUJAHBQ","journalArticle","2014","Olspert, Allan; Kamsol, Kristjan; Sarmiento, Cecilia; Gerassimenko, Jelena; Truve, Erkki","Cocksfoot mottle virus coat protein is dispensable for the systemic infection","Virology Journal","","","10.1186/1743-422x-11-19","https://doi.org/10.1186%2F1743-422x-11-19","","2014","2017-04-11 08:32:45","2017-04-11 08:32:45","","19","","1","11","","","","","","","","","","","","","","","","","bibtex: Olspert2014  bibtex[bdsk-url-1=https://doi.org/10.1186%2F1743-422x-11-19;bdsk-url-2=http://dx.doi.org/10.1186/1743-422x-11-19]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EJQ9RN6N","journalArticle","2014","Xu, Hongxing; He, Xiaochan; Zheng, Xusong; Yang, Yajun; Tian, Junce; Lu, Zhongxian","Southern rice black-streaked dwarf virus (SRBSDV) directly affects the feeding and reproduction behavior of its vector, Sogatella furcifera (Horváth) (Hemiptera: Delphacidae)","Virology Journal","","","10.1186/1743-422x-11-55","https://doi.org/10.1186%2F1743-422x-11-55","","2014","2017-04-11 08:32:45","2017-04-11 08:32:45","","55","","1","11","","","","","","","","","","","","","","","","","bibtex: Xu2014  bibtex[bdsk-url-1=https://doi.org/10.1186%2F1743-422x-11-55;bdsk-url-2=http://dx.doi.org/10.1186/1743-422x-11-55]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67B2BMKX","journalArticle","2014","Yang, Liang; Du, Zhenguo; Gao, Feng; Wu, Kangcheng; Xie, Lianhui; Li, Yi; Wu, Zujian; Wu, Jianguo","Transcriptome profiling confirmed correlations between symptoms and transcriptional changes in RDV infected rice and revealed nucleolus as a possible target of RDV manipulation","Virology Journal","","","10.1186/1743-422x-11-81","https://doi.org/10.1186%2F1743-422x-11-81","","2014","2017-04-11 08:32:45","2017-04-11 08:32:45","","81","","1","11","","","","","","","","","","","","","","","","","bibtex: Yang2014  bibtex[bdsk-url-1=https://doi.org/10.1186%2F1743-422x-11-81;bdsk-url-2=http://dx.doi.org/10.1186/1743-422x-11-81]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5UXX6FX3","journalArticle","2014","Al-Saleh, Mohammed A.; Al-Shahwan, Ibrahim M.; Brown, Judith K.; Idris, Ali M.","Molecular characterization of a naturally occurring intraspecific recombinant begomovirus with close relatives widespread in southern Arabia","Virology Journal","","","10.1186/1743-422x-11-103","https://doi.org/10.1186%2F1743-422x-11-103","","2014","2017-04-11 08:32:45","2017-04-11 08:32:45","","103","","1","11","","","","","","","","","","","","","","","","","bibtex: AlSaleh2014  bibtex[bdsk-url-1=https://doi.org/10.1186%2F1743-422x-11-103;bdsk-url-2=http://dx.doi.org/10.1186/1743-422x-11-103]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64DFG2AT","journalArticle","2014","Lapidot, Moshe; Gelbart, Dana; Gal-On, Amit; Sela, Noa; Anfoka, Ghandi; Ahmed, Fatima Haj; Abou-Jawada, Yusuf; Sobh, Hana; Mazyad, Hamed; Aboul-Ata, Aboul-Ata E.; El-Attar, Ahmed Kamal; Ali-Shtayeh, Mohammed S.; Jamous, Rana M.; Polston, Jane E.; Duffy, Siobain","Frequent migration of introduced cucurbit-infecting begomoviruses among Middle Eastern countries","Virology Journal","","","10.1186/1743-422x-11-181","https://doi.org/10.1186%2F1743-422x-11-181","","2014","2017-04-11 08:32:45","2017-04-11 08:32:45","","181","","1","11","","","","","","","","","","","","","","","","","bibtex: Lapidot2014  bibtex[bdsk-url-1=https://doi.org/10.1186%2F1743-422x-11-181;bdsk-url-2=http://dx.doi.org/10.1186/1743-422x-11-181]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57BA392M","journalArticle","2014","Kaweesi, Tadeo; Kawuki, Robert; Kyaligonza, Vincent; Baguma, Yona; Tusiime, Geoffrey; Ferguson, Morag E.","Field evaluation of selected cassava genotypes for cassava brown streak disease based on symptom expression and virus load","Virology Journal","","","10.1186/s12985-014-0216-x","https://doi.org/10.1186%2Fs12985-014-0216-x","","2014-12","2017-04-11 08:32:45","2017-04-11 08:32:45","","","","1","11","","","","","","","","","","","","","","","","","bibtex: Kaweesi2014  bibtex[bdsk-url-1=https://doi.org/10.1186%2Fs12985-014-0216-x;bdsk-url-2=http://dx.doi.org/10.1186/s12985-014-0216-x]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MM6GSJIR","journalArticle","2015","Lin, Chun-Yi; Wu, Meng-Ling; Shen, Tang-Long; Yeh, Hsin-Hung; Hung, Ting-Hsuan","Multiplex detection, distribution, and genetic diversity of Hop stunt viroid and Citrus exocortis viroid infecting citrus in Taiwan","Virology Journal","","","10.1186/s12985-015-0247-y","https://doi.org/10.1186%2Fs12985-015-0247-y","","2015","2017-04-11 08:32:45","2017-04-11 08:32:45","","11","","1","12","","","","","","","","","","","","","","","","","bibtex: Lin2015  bibtex[bdsk-url-1=https://doi.org/10.1186%2Fs12985-015-0247-y;bdsk-url-2=http://dx.doi.org/10.1186/s12985-015-0247-y]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
