publication,year,start_page,assignee,DOI,Comments
Molecular Plant-Microbe Interactions,2016,51,Zach,,
Molecular Plant-Microbe Interactions,2016,52,Zach,,
Molecular Plant-Microbe Interactions,2016,140,Emerson,,
Nematology,2012,51,Emerson,,
Nematology,2012,86,Nik,,
Nematology,2012,92,Nik,,
Nematology,2014,40,Adam,,
Nematology,2014,56,Adam,,
Nematology,2016,15,Adam,,
Nematology,2016,107,Emerson,,
Physiological and Molecular Plant Pathology,2012,11,Nik,,
Physiological and Molecular Plant Pathology,2012,127,Zach,,
Physiological and Molecular Plant Pathology,2012,144,Emerson,,
Physiological and Molecular Plant Pathology,2013,7,Nik,,
Physiological and Molecular Plant Pathology,2013,98,Nik,,
Physiological and Molecular Plant Pathology,2014,80,Emerson,,
Physiological and Molecular Plant Pathology,2014,131,Zach,,
Physiological and Molecular Plant Pathology,2014,144,Zach,,
Physiological and Molecular Plant Pathology,2015,150,Emerson,,
Physiological and Molecular Plant Pathology,2016,9,Nik,,
Physiological and Molecular Plant Pathology,2016,91,Zach,,
Phytoparasitica,2012,118,Nik,,
Phytoparasitica,2013,2,Adam,,
Phytoparasitica,2013,71,Adam,,
Phytoparasitica,2013,91,Zach,,
Phytoparasitica,2013,100,Zach,,
Phytoparasitica,2013,101,Adam,,
Phytoparasitica,2014,24,Zach,,
Phytoparasitica,2014,45,Emerson,,
Phytoparasitica,2015,40,Adam,,
Phytoparasitica,2015,84,Adam,,
Phytoparasitica,2015,96,Nik,,
Phytoparasitica,2016,42,Emerson,,
Phytoparasitica,2016,44,Adam,,
Phytopathologia Mediterranea,2012,84,Zach,,
Phytopathologia Mediterranea,2013,29,Zach,,
Phytopathologia Mediterranea,2014,24,Emerson,,
Phytopathologia Mediterranea,2015,113,Adam,,
Phytopathologia Mediterranea,2015,121,Nik,,
Phytopathologia Mediterranea,2016,11,Emerson,,
Phytopathologia Mediterranea,2016,60,Adam,,
Phytopathology,2012,57,Nik,,
Phytopathology,2012,71,Nik,,
Phytopathology,2012,89,Adam,,
Phytopathology,2012,97,Adam,,
Phytopathology,2014,19,Adam,,
Phytopathology,2014,73,Zach,,
Phytopathology,2015,12,Zach,,
Phytopathology,2015,30,Adam,,
Phytopathology,2015,43,Adam,,
Phytopathology,2015,75,Adam,,
Phytopathology,2016,59,Adam,,
Phytopathology,2016,62,Emerson,,
Phytopathology,2016,80,Nik,,
Plant Disease,2012,68,Nik,,
Plant Disease,2013,64,Emerson,,
Plant Disease,2013,110,Nik,,
Plant Disease,2013,124,Nik,,
Plant Disease,2014,60,Zach,,
Plant Disease,2014,75,Zach,,
Plant Disease,2015,25,Nik,,
Plant Disease,2015,69,Nik,,
Plant Disease,2015,111,Adam,,
Plant Disease,2016,76,Zach,,
Plant Disease,2016,106,Zach,,
Plant Health Progress,2012,127,Zach,,
Plant Health Progress,2012,144,Nik,,
Plant Health Progress,2013,7,Adam,,
Plant Health Progress,2013,16,Zach,,
Plant Health Progress,2013,75,Emerson,,
Plant Health Progress,2014,63,Nik,,
Plant Health Progress,2016,38,Adam,,
Plant Pathology,2012,37,Nik,,
Plant Pathology,2012,104,Emerson,,
Plant Pathology,2013,20,Emerson,,
Plant Pathology,2013,25,Emerson,,
Plant Pathology,2013,90,Adam,,
Plant Pathology,2013,130,Adam,,
Plant Pathology,2014,79,Nik,,
Plant Pathology,2014,109,Emerson,,
Plant Pathology,2014,111,Nik,,
Plant Pathology,2014,126,Adam,,
Plant Pathology,2014,137,Adam,,
Plant Pathology,2015,98,Zach,,
Plant Pathology,2015,110,Emerson,,
Plant Pathology,2016,67,Nik,,
Revista Mexicana de Fitopatología,2012,18,Zach,,
Revista Mexicana de Fitopatología,2012,114,Adam,,
Revista Mexicana de Fitopatología,2012,145,Adam,,
Revista Mexicana de Fitopatología,2013,66,Adam,,
Revista Mexicana de Fitopatología,2013,135,Nik,,
Revista Mexicana de Fitopatología,2014,25,Adam,,
Revista Mexicana de Fitopatología,2014,56,Zach,,
Revista Mexicana de Fitopatología,2014,98,Emerson,,
Tropical Plant Pathology,2012,132,Zach,,
Tropical Plant Pathology,2014,27,Zach,,
Tropical Plant Pathology,2014,100,Nik,,
Tropical Plant Pathology,2015,104,Nik,,
Tropical Plant Pathology,2015,125,Adam,,
Tropical Plant Pathology,2016,47,Emerson,,
