,publication,year,start_page,assignee,doi,Article,Authors,Vol,Iss,pp,IF,Page_charges,Country,Open_or_Restricted,Reproducibility_instructions,Iss_per_Year,Article_class,Supl_mats,Comp_methods_availability,Software_availability,Software_citation,Analysis_automation,Data_availability,Data_annotation,Data_tidiness,Reproducibility_score
24,Crop Protection,2014,22,Nik,,,,,,,,,,,,,,,,,,,,,,
25,Journal of General Plant Pathology,2016,52,Adam,,,,,,,,,,,,,,,,,,,,,,
26,Virology Journal (Plant Viruses Section),2014,61,Emerson,,,,,,,,,,,,,,,,,,,,,,
27,Australasian Plant Pathology,2013,13,Zach,,,,,,,,,,,,,,,,,,,,,,
28,Virology Journal (Plant Viruses Section),2012,140,Nik,,,,,,,,,,,,,,,,,,,,,,
29,Plant Pathology,2014,126,Adam,,,,,,,,,,,,,,,,,,,,,,
30,Journal of Plant Pathology,2016,132,Emerson,,,,,,,,,,,,,,,,,,,,,,
31,Molecular Plant Pathology,2013,141,Zach,,,,,,,,,,,,,,,,,,,,,,
32,Physiological and Molecular Plant Pathology,2012,11,Nik,,,,,,,,,,,,,,,,,,,,,,
33,Molecular Plant Pathology,2013,57,Adam,,,,,,,,,,,,,,,,,,,,,,
34,European Journal of Plant Pathology,2015,81,Emerson,,,,,,,,,,,,,,,,,,,,,,
35,Plant Health Progress,2013,16,Zach,,,,,,,,,,,,,,,,,,,,,,
36,Phytopathologia Mediterranea,2015,121,Nik,,,,,,,,,,,,,,,,,,,,,,
37,Plant Disease,2015,111,Adam,,,,,,,,,,,,,,,,,,,,,,
38,Crop Protection,2014,8,Emerson,,,,,,,,,,,,,,,,,,,,,,
39,Phytopathology,2014,73,Zach,,,,,,,,,,,,,,,,,,,,,,
40,Virology Journal (Plant Viruses Section),2014,139,Nik,,,,,,,,,,,,,,,,,,,,,,
41,Plant Health Progress,2013,7,Adam,,,,,,,,,,,,,,,,,,,,,,
42,Phytoparasitica,2014,45,Emerson,,,,,,,,,,,,,,,,,,,,,,
43,Plant Disease,2016,76,Zach,,,,,,,,,,,,,,,,,,,,,,
44,Nematology,2012,92,Nik,,,,,,,,,,,,,,,,,,,,,,
45,Nematology,2014,40,Adam,,,,,,,,,,,,,,,,,,,,,,
46,Plant Disease,2013,64,Emerson,,,,,,,,,,,,,,,,,,,,,,
47,Australasian Plant Pathology,2014,55,Zach,,,,,,,,,,,,,,,,,,,,,,
48,Molecular Plant Pathology,2012,142,Nik,,,,,,,,,,,,,,,,,,,,,,
49,Phytopathology,2014,19,Adam,,,,,,,,,,,,,,,,,,,,,,
50,Phytopathologia Mediterranea,2016,11,Emerson,,,,,,,,,,,,,,,,,,,,,,
51,Molecular Plant Pathology,2015,145,Zach,,,,,,,,,,,,,,,,,,,,,,
52,Plant Pathology,2016,67,Nik,,,,,,,,,,,,,,,,,,,,,,
53,Molecular Plant-Microbe Interactions,2014,56,Adam,,,,,,,,,,,,,,,,,,,,,,
54,Journal of General Plant Pathology,2015,26,Emerson,,,,,,,,,,,,,,,,,,,,,,
55,Canadian Journal of Plant Pathology,2014,9,Zach,,,,,,,,,,,,,,,,,,,,,,
56,Crop Protection,2012,99,Nik,,,,,,,,,,,,,,,,,,,,,,
57,Journal of Phytopathology,2013,87,Adam,,,,,,,,,,,,,,,,,,,,,,
58,Molecular Plant Pathology,2014,149,Emerson,,,,,,,,,,,,,,,,,,,,,,
59,Phytoparasitica,2013,91,Zach,,,,,,,,,,,,,,,,,,,,,,
60,Virology Journal (Plant Viruses Section),2016,10,Nik,,,,,,,,,,,,,,,,,,,,,,
61,Revista Mexicana de Fitopatología,2014,25,Adam,,,,,,,,,,,,,,,,,,,,,,
62,Journal of Phytopathology,2013,72,Emerson,,,,,,,,,,,,,,,,,,,,,,
63,Molecular Plant-Microbe Interactions,2013,1,Zach,,,,,,,,,,,,,,,,,,,,,,
64,Journal of Phytopathology,2015,67,Nik,,,,,,,,,,,,,,,,,,,,,,
65,Phytoparasitica,2015,40,Adam,,,,,,,,,,,,,,,,,,,,,,
66,Journal of General Plant Pathology,2012,141,Emerson,,,,,,,,,,,,,,,,,,,,,,
67,Molecular Plant Pathology,2012,108,Zach,,,,,,,,,,,,,,,,,,,,,,
68,Plant Disease,2015,25,Nik,,,,,,,,,,,,,,,,,,,,,,
69,Canadian Journal of Plant Pathology,2015,72,Adam,,,,,,,,,,,,,,,,,,,,,,
70,Plant Pathology,2012,104,Emerson,,,,,,,,,,,,,,,,,,,,,,
71,Journal of Plant Pathology,2012,70,Zach,,,,,,,,,,,,,,,,,,,,,,
72,Plant Health Progress,2012,144,Nik,,,,,,,,,,,,,,,,,,,,,,
73,Journal of Plant Pathology,2013,107,Adam,,,,,,,,,,,,,,,,,,,,,,
74,Journal of Plant Pathology,2012,60,Emerson,,,,,,,,,,,,,,,,,,,,,,
75,Molecular Plant Pathology,2013,18,Zach,,,,,,,,,,,,,,,,,,,,,,
76,Plant Pathology,2012,37,Nik,,,,,,,,,,,,,,,,,,,,,,
77,Plant Pathology,2013,130,Adam,,,,,,,,,,,,,,,,,,,,,,
78,Virology Journal (Plant Viruses Section),2012,66,Emerson,,,,,,,,,,,,,,,,,,,,,,
79,Plant Disease,2014,75,Zach,,,,,,,,,,,,,,,,,,,,,,
80,Tropical Plant Pathology,2015,104,Nik,,,,,,,,,,,,,,,,,,,,,,
81,Molecular Plant-Microbe Interactions,2012,115,Adam,,,,,,,,,,,,,,,,,,,,,,
82,Phytopathologia Mediterranea,2014,24,Emerson,,,,,,,,,,,,,,,,,,,,,,
83,Virology Journal (Plant Viruses Section),2016,128,Zach,,,,,,,,,,,,,,,,,,,,,,
84,Journal of Phytopathology,2013,143,Nik,,,,,,,,,,,,,,,,,,,,,,
85,Phytopathology,2012,89,Adam,,,,,,,,,,,,,,,,,,,,,,
86,Forest Pathology,2012,76,Emerson,,,,,,,,,,,,,,,,,,,,,,
87,Phytopathologia Mediterranea,2013,29,Zach,,,,,,,,,,,,,,,,,,,,,,
88,Crop Protection,2012,1,Nik,,,,,,,,,,,,,,,,,,,,,,
89,Journal of General Plant Pathology,2012,132,Adam,,,,,,,,,,,,,,,,,,,,,,
90,European Journal of Plant Pathology,2013,21,Emerson,,,,,,,,,,,,,,,,,,,,,,
91,Journal of General Plant Pathology,2013,4,Zach,,,,,,,,,,,,,,,,,,,,,,
92,Canadian Journal of Plant Pathology,2012,141,Nik,,,,,,,,,,,,,,,,,,,,,,
93,Phytoparasitica,2016,44,Adam,,,,,,,,,,,,,,,,,,,,,,
94,Plant Pathology,2013,25,Emerson,,,,,,,,,,,,,,,,,,,,,,
95,Plant Disease,2014,60,Zach,,,,,,,,,,,,,,,,,,,,,,
96,Plant Disease,2015,69,Nik,,,,,,,,,,,,,,,,,,,,,,
97,Molecular Plant-Microbe Interactions,2012,66,Adam,,,,,,,,,,,,,,,,,,,,,,
98,Virology Journal (Plant Viruses Section),2012,78,Emerson,,,,,,,,,,,,,,,,,,,,,,
99,Plant Health Progress,2012,127,Zach,,,,,,,,,,,,,,,,,,,,,,
100,Physiological and Molecular Plant Pathology,2016,9,Nik,,,,,,,,,,,,,,,,,,,,,,
101,Phytoparasitica,2015,84,Adam,,,,,,,,,,,,,,,,,,,,,,
102,Journal of Plant Pathology,2012,104,Emerson,,,,,,,,,,,,,,,,,,,,,,
103,Journal of General Plant Pathology,2014,99,Zach,,,,,,,,,,,,,,,,,,,,,,
104,Tropical Plant Pathology,2014,100,Nik,,,,,,,,,,,,,,,,,,,,,,
105,Phytoparasitica,2013,71,Adam,,,,,,,,,,,,,,,,,,,,,,
106,Forest Pathology,2016,146,Emerson,,,,,,,,,,,,,,,,,,,,,,
107,Crop Protection,2012,61,Zach,,,,,,,,,,,,,,,,,,,,,,
108,Molecular Plant Pathology,2016,128,Nik,,,,,,,,,,,,,,,,,,,,,,
109,Revista Mexicana de Fitopatología,2012,114,Adam,,,,,,,,,,,,,,,,,,,,,,
110,Physiological and Molecular Plant Pathology,2014,80,Emerson,,,,,,,,,,,,,,,,,,,,,,
111,Tropical Plant Pathology,2012,132,Zach,,,,,,,,,,,,,,,,,,,,,,
112,Phytopathology,2012,71,Nik,,,,,,,,,,,,,,,,,,,,,,
113,Journal of Plant Pathology,2016,2,Adam,,,,,,,,,,,,,,,,,,,,,,
114,Molecular Plant-Microbe Interactions,2015,110,Emerson,,,,,,,,,,,,,,,,,,,,,,
115,European Journal of Plant Pathology,2013,108,Zach,,,,,,,,,,,,,,,,,,,,,,
116,Australasian Plant Pathology,2014,29,Nik,,,,,,,,,,,,,,,,,,,,,,
117,Phytopathology,2012,97,Adam,,,,,,,,,,,,,,,,,,,,,,
118,Crop Protection,2013,82,Emerson,,,,,,,,,,,,,,,,,,,,,,
119,Molecular Plant-Microbe Interactions,2016,51,Zach,,,,,,,,,,,,,,,,,,,,,,
120,Phytoparasitica,2015,96,Nik,,,,,,,,,,,,,,,,,,,,,,
121,Tropical Plant Pathology,2015,125,Adam,,,,,,,,,,,,,,,,,,,,,,
122,Molecular Plant Pathology,2013,107,Emerson,,,,,,,,,,,,,,,,,,,,,,
123,Molecular Plant Pathology,2014,53,Zach,,,,,,,,,,,,,,,,,,,,,,
124,European Journal of Plant Pathology,2016,20,Nik,,,,,,,,,,,,,,,,,,,,,,
125,Phytopathology,2016,59,Adam,,,,,,,,,,,,,,,,,,,,,,
126,Molecular Plant-Microbe Interactions,2016,140,Emerson,,,,,,,,,,,,,,,,,,,,,,
127,Molecular Plant Pathology,2016,121,Zach,,,,,,,,,,,,,,,,,,,,,,
128,Forest Pathology,2015,114,Nik,,,,,,,,,,,,,,,,,,,,,,
129,Forest Pathology,2013,144,Adam,,,,,,,,,,,,,,,,,,,,,,
130,Physiological and Molecular Plant Pathology,2015,150,Emerson,,,,,,,,,,,,,,,,,,,,,,
131,Physiological and Molecular Plant Pathology,2016,91,Zach,,,,,,,,,,,,,,,,,,,,,,
132,Canadian Journal of Plant Pathology,2013,5,Nik,,,,,,,,,,,,,,,,,,,,,,
133,Australasian Plant Pathology,2013,51,Adam,,,,,,,,,,,,,,,,,,,,,,
134,Phytoparasitica,2016,42,Emerson,,,,,,,,,,,,,,,,,,,,,,
135,Revista Mexicana de Fitopatología,2012,18,Zach,,,,,,,,,,,,,,,,,,,,,,
136,Physiological and Molecular Plant Pathology,2013,7,Nik,,,,,,,,,,,,,,,,,,,,,,
137,Nematology,2014,56,Adam,,,,,,,,,,,,,,,,,,,,,,
138,Nematology,2012,51,Emerson,,,,,,,,,,,,,,,,,,,,,,
139,Tropical Plant Pathology,2014,27,Zach,,,,,,,,,,,,,,,,,,,,,,
140,Molecular Plant Pathology,2016,94,Nik,,,,,,,,,,,,,,,,,,,,,,
141,Phytopathologia Mediterranea,2016,60,Adam,,,,,,,,,,,,,,,,,,,,,,
142,Physiological and Molecular Plant Pathology,2012,144,Emerson,,,,,,,,,,,,,,,,,,,,,,
143,Journal of General Plant Pathology,2014,99,Zach,,,,,,,,,,,,,,,,,,,,,,
144,Journal of General Plant Pathology,2013,50,Nik,,,,,,,,,,,,,,,,,,,,,,
145,Phytopathology,2015,30,Adam,,,,,,,,,,,,,,,,,,,,,,
146,Molecular Plant-Microbe Interactions,2013,18,Emerson,,,,,,,,,,,,,,,,,,,,,,
147,European Journal of Plant Pathology,2014,150,Zach,,,,,,,,,,,,,,,,,,,,,,
148,Phytopathology,2012,57,Nik,,,,,,,,,,,,,,,,,,,,,,
149,Crop Protection,2013,85,Adam,,,,,,,,,,,,,,,,,,,,,,
150,Plant Pathology,2015,110,Emerson,,,,,,,,,,,,,,,,,,,,,,
151,Physiological and Molecular Plant Pathology,2014,131,Zach,,,,,,,,,,,,,,,,,,,,,,
152,Nematology,2012,86,Nik,,,,,,,,,,,,,,,,,,,,,,
153,Journal of Phytopathology,2015,2,Adam,,,,,,,,,,,,,,,,,,,,,,
154,Molecular Plant-Microbe Interactions,2014,136,Emerson,,,,,,,,,,,,,,,,,,,,,,
155,Molecular Plant Pathology,2016,116,Zach,,,,,,,,,,,,,,,,,,,,,,
156,European Journal of Plant Pathology,2013,58,Nik,,,,,,,,,,,,,,,,,,,,,,
157,Nematology,2016,15,Adam,,,,,,,,,,,,,,,,,,,,,,
158,Canadian Journal of Plant Pathology,2012,8,Emerson,,,,,,,,,,,,,,,,,,,,,,
159,Journal of General Plant Pathology,2016,124,Zach,,,,,,,,,,,,,,,,,,,,,,
160,Forest Pathology,2014,125,Nik,,,,,,,,,,,,,,,,,,,,,,
161,Journal of General Plant Pathology,2012,99,Adam,,,,,,,,,,,,,,,,,,,,,,
162,Plant Pathology,2013,20,Emerson,,,,,,,,,,,,,,,,,,,,,,
163,Molecular Plant-Microbe Interactions,2016,52,Zach,,,,,,,,,,,,,,,,,,,,,,
164,Plant Disease,2013,110,Nik,,,,,,,,,,,,,,,,,,,,,,
165,Plant Pathology,2014,137,Adam,,,,,,,,,,,,,,,,,,,,,,
166,Virology Journal (Plant Viruses Section),2016,105,Emerson,,,,,,,,,,,,,,,,,,,,,,
167,Canadian Journal of Plant Pathology,2012,37,Zach,,,,,,,,,,,,,,,,,,,,,,
168,Journal of Plant Pathology,2015,97,Nik,,,,,,,,,,,,,,,,,,,,,,
169,Phytopathology,2015,43,Adam,,,,,,,,,,,,,,,,,,,,,,
170,Journal of Plant Pathology,2014,144,Emerson,,,,,,,,,,,,,,,,,,,,,,
171,Phytoparasitica,2014,24,Zach,,,,,,,,,,,,,,,,,,,,,,
172,Plant Health Progress,2014,63,Nik,,,,,,,,,,,,,,,,,,,,,,
173,Plant Health Progress,2016,38,Adam,,,,,,,,,,,,,,,,,,,,,,
174,Virology Journal (Plant Viruses Section),2013,15,Emerson,,,,,,,,,,,,,,,,,,,,,,
175,Journal of Plant Pathology,2013,125,Zach,,,,,,,,,,,,,,,,,,,,,,
176,Plant Pathology,2014,79,Nik,,,,,,,,,,,,,,,,,,,,,,
177,Phytoparasitica,2013,101,Adam,,,,,,,,,,,,,,,,,,,,,,
178,Phytopathology,2016,62,Emerson,,,,,,,,,,,,,,,,,,,,,,
179,Physiological and Molecular Plant Pathology,2012,127,Zach,,,,,,,,,,,,,,,,,,,,,,
180,Plant Pathology,2014,111,Nik,,,,,,,,,,,,,,,,,,,,,,
181,Journal of Phytopathology,2014,53,Adam,,,,,,,,,,,,,,,,,,,,,,
182,Forest Pathology,2014,143,Emerson,,,,,,,,,,,,,,,,,,,,,,
183,Plant Pathology,2015,98,Zach,,,,,,,,,,,,,,,,,,,,,,
184,Molecular Plant Pathology,2016,6,Nik,,,,,,,,,,,,,,,,,,,,,,
185,Plant Pathology,2013,90,Adam,,,,,,,,,,,,,,,,,,,,,,
186,European Journal of Plant Pathology,2013,63,Emerson,,,,,,,,,,,,,,,,,,,,,,
187,Phytopathology,2015,12,Zach,,,,,,,,,,,,,,,,,,,,,,
188,Phytopathology,2016,80,Nik,,,,,,,,,,,,,,,,,,,,,,
189,Revista Mexicana de Fitopatología,2012,145,Adam,,,,,,,,,,,,,,,,,,,,,,
190,Nematology,2016,107,Emerson,,,,,,,,,,,,,,,,,,,,,,
191,Phytopathologia Mediterranea,2012,84,Zach,,,,,,,,,,,,,,,,,,,,,,
192,Virology Journal (Plant Viruses Section),2012,37,Nik,,,,,,,,,,,,,,,,,,,,,,
193,Crop Protection,2016,117,Adam,,,,,,,,,,,,,,,,,,,,,,
194,Revista Mexicana de Fitopatología,2014,98,Emerson,,,,,,,,,,,,,,,,,,,,,,
195,Journal of General Plant Pathology,2012,125,Zach,,,,,,,,,,,,,,,,,,,,,,
196,Physiological and Molecular Plant Pathology,2013,98,Nik,,,,,,,,,,,,,,,,,,,,,,
197,Crop Protection,2015,72,Adam,,,,,,,,,,,,,,,,,,,,,,
198,Plant Health Progress,2013,75,Emerson,,,,,,,,,,,,,,,,,,,,,,
199,Journal of Phytopathology,2013,57,Zach,,,,,,,,,,,,,,,,,,,,,,
200,Plant Disease,2012,68,Nik,,,,,,,,,,,,,,,,,,,,,,
